Year,Month,Interest Rate %,
1990,4,13.88,
1990,5,13.88,
1990,6,13.88,
1990,7,13.88,
1990,8,13.88,
1990,9,13.88,
1990,10,13.88,
1990,11,13.88,
1990,12,13.88,
1991,1,13.88,
1991,2,13.38,
1991,3,12.88,
1991,4,11.88,
1991,5,11.38,
1991,6,11.38,
1991,7,10.88,
1991,8,10.88,
1991,9,10.38,
1991,10,10.38,
1991,11,10.38,
1991,12,10.38,
1992,1,10.38,
1992,2,10.38,
1992,3,10.38,
1992,4,10.38,
1992,5,9.88,
1992,6,9.88,
1992,7,9.88,
1992,8,9.88,
1992,9,8.88,
1992,10,7.88,
1992,11,6.88,
1992,12,6.88,
1993,1,5.88,
1993,2,5.88,
1993,3,5.88,
1993,4,5.88,
1993,5,5.88,
1993,6,5.88,
1993,7,5.88,
1993,8,5.88,
1993,9,5.88,
1993,10,5.88,
1993,11,5.38,
1993,12,5.38,
1994,1,5.38,
1994,2,5.13,
1994,3,5.13,
1994,4,5.13,
1994,5,5.13,
1994,6,5.13,
1994,7,5.13,
1994,8,5.13,
1994,9,5.63,
1994,10,5.63,
1994,11,5.63,
1994,12,6.13,
1995,1,6.13,
1995,2,6.63,
1995,3,5.94,
1995,4,5.94,
1995,5,5.94,
1995,6,5.94,
1995,7,5.94,
1995,8,5.94,
1995,9,5.94,
1995,10,5.94,
1995,11,5.94,
1995,12,6.38,
1996,1,6.13,
1996,2,6.13,
1996,3,5.94,
1996,4,5.94,
1996,5,5.94,
1996,6,5.69,
1996,7,5.69,
1996,8,5.69,
1996,9,5.69,
1996,10,5.94,
1996,11,5.94,
1996,12,5.94,
1997,1,5.94,
1997,2,5.94,
1997,3,5.94,
1997,4,5.94,
1997,5,6.25,
1997,6,6.5,
1997,7,6.75,
1997,8,7,
1997,9,7,
1997,10,7,
1997,11,7.25,
1997,12,7.25,
1998,1,7.25,
1998,2,7.25,
1998,3,7.25,
1998,4,7.25,
1998,5,7.25,
1998,6,7.5,
1998,7,7.5,
1998,8,7.5,
1998,9,7.5,
1998,10,7.25,
1998,11,6.75,
1998,12,6.25,
1999,1,6,
1999,2,5.5,
1999,3,5.5,
1999,4,5.25,
1999,5,5.25,
1999,6,5,
1999,7,5,
1999,8,5,
1999,9,5.25,
1999,10,5.25,
1999,11,5.5,
1999,12,5.5,
2000,1,5.75,
2000,2,6,
2000,3,6,
2000,4,6,
2000,5,6,
2000,6,6,
2000,7,6,
2000,8,6,
2000,9,6,
2000,10,6,
2000,11,6,
2000,12,6,
2001,1,6,
2001,2,5.75,
2001,3,5.75,
2001,4,5.5,
2001,5,5.25,
2001,6,5.25,
2001,7,5.25,
2001,8,5,
2001,9,4.75,
2001,10,4.5,
2001,11,4,
2001,12,4,
2002,1,4,
2002,2,4,
2002,3,4,
2002,4,4,
2002,5,4,
2002,6,4,
2002,7,4,
2002,8,4,
2002,9,4,
2002,10,4,
2002,11,4,
2002,12,4,
