Year,Monthh,Gold,Platinum,Palladium,Silver
1990,4,374.5855263,478.0065789,127.0671053,5.059
1990,5,368.9535714,488.0892857,119.5369048,5.073047619
1990,6,352.4940476,481.347619,115.547619,4.918285714
1990,7,362.175,479.0886364,117.0829545,4.871
1990,8,394.7943182,491.8988636,115.6068182,5.001840909
1990,9,389.44125,462.0475,105.2375,4.803775
1990,10,381.0358696,424.4913043,95.50108696,4.389108696
1990,11,381.7954545,421.7227273,93.775,4.172886364
1990,12,377.0632353,421.5411765,89.97352941,4.074294118
1991,1,384.1147727,408.1818182,87.01136364,4.050409091
1991,2,363.78875,386.58,84.34,3.73765
1991,3,363.3625,400.39375,86.10375,3.948125
1991,4,358.2166667,397.3869048,96.59642857,3.982142857
1991,5,357.0309524,389.6392857,95.48452381,4.048285714
1991,6,366.5460526,375.5684211,97.09210526,4.387710526
1991,7,367.848913,376.0521739,94.62065217,4.3475
1991,8,356.5130952,347.1416667,83.05357143,3.9575
1991,9,348.5988095,349.0928571,81.92857143,4.03747619
1991,10,358.7565217,362.5043478,85.28478261,4.115391304
1991,11,360.0630952,364.9654762,85.33928571,4.072285714
1991,12,362.1041667,356.6388889,82.95555556,3.954527778
1992,1,354.4420455,341.4613636,82.99431818,4.121409091
1992,2,353.8825,361.88625,85.49125,4.1457
1992,3,344.4886364,356.8943182,84.39318182,4.110431818
1992,4,338.6725,347.6425,83.46375,4.0525
1992,5,337.1394737,358.2631579,82.74736842,4.074605263
1992,6,340.7943182,369.1715909,80.66477273,4.063909091
1992,7,352.5858696,383.2402174,87.03152174,3.967521739
1992,8,343.33,359.75625,85.5125,3.818425
1992,9,345.3647727,362.1340909,90.84886364,3.770159091
1992,10,344.3284091,358.0977273,94.72045455,3.749772727
1992,11,334.9702381,355.9107143,94.49404762,3.77102381
1992,12,334.8223684,362.5355263,106.6671053,3.731631579
1993,1,329.00125,359.30375,109.8675,3.68425
1993,2,329.31,359.045,110.51875,3.659975
1993,3,330.026087,350.2423913,106.2663043,3.647021739
1993,4,342.04875,369.03875,114.72625,3.964025
1993,5,367.1118421,384.8802632,119.55,4.455157895
1993,6,371.9022727,383.3147727,127.025,4.374840909
1993,7,392.1113636,403.1568182,139.4431818,5.019431818
1993,8,379.3166667,392.9928571,136.902381,4.844857143
1993,9,355.4181818,362.4772727,121.4284091,4.218522727
1993,10,364.0916667,367.9261905,129.6845238,4.34302381
1993,11,373.8829545,374.5147727,128.175,4.533159091
1993,12,382.9868421,382.1828947,124.7618421,4.957921053
1994,1,386.9925,387.74125,124.31,5.1427
1994,2,381.78375,393.855,131.7825,5.247275
1994,3,384.0641304,400.2847826,133.0347826,5.434956522
1994,4,377.5894737,396.3592105,133.5934211,5.308210526
1994,5,381.3775,398.2875,136.10125,5.42495
1994,6,385.6784091,401.3159091,137.1977273,5.387613636
1994,7,385.4702381,411.5547619,146.072619,5.282571429
1994,8,380.2806818,412.2193182,152.1477273,5.194522727
1994,9,391.4613636,417.2477273,152.9568182,5.523681818
1994,10,389.9678571,419.3309524,154.602381,5.455095238
1994,11,384.3829545,412.5136364,156.4715909,5.192409091
1994,12,379.2486111,409.2902778,153.4666667,4.780027778
1995,1,378.6440476,413.7238095,156.0535714,4.76947619
1995,2,376.6925,414.03875,156.9125,4.721725
1995,3,381.9695652,416.6978261,162.6978261,4.64826087
1995,4,391.1847222,448.7777778,169.7819444,5.503
1995,5,385.225,436.9130952,160.4869048,5.540547619
1995,6,387.5886364,438.4602273,158.5625,5.363704545
1995,7,386.1857143,433.5892857,155.3547619,5.164761905
1995,8,383.5784091,424.8170455,149.6454545,5.389909091
1995,9,382.9928571,429.8059524,143.4666667,5.434952381
1995,10,383.1693182,412.8034091,136.8852273,5.374136364
1995,11,385.2579545,413.2261364,134.2931818,5.315068182
1995,12,387.4735294,410.3735294,131.9132353,5.185352941
1996,1,399.0738636,416.1852273,129.6193182,5.479795455
1996,2,404.8404762,420.375,139.3409524,5.650047619
1996,3,396.3595238,411.1928571,138.1761905,5.529880952
1996,4,392.85875,404.20625,136.35,5.4105
1996,5,391.9619048,401.3619048,132.0488095,5.365857143
1996,6,385.25875,392.59875,129.55375,5.161325
1996,7,383.4652174,393.4597826,131.95,5.063978261
1996,8,387.4297619,400.1904762,127.0809524,5.129666667
1996,9,383.2130952,389.9797619,121.5988095,5.036547619
1996,10,380.9869565,384.1265217,117.5271739,4.927586957
1996,11,377.8595238,381.9642857,116.9940476,4.83147619
1996,12,369.1736111,370.4444444,117.1458333,4.822638889
1997,1,355.0647727,359.5477273,121.2102273,4.773613636
1997,2,346.49125,364.84625,136.13375,5.072175
1997,3,352.0592105,379.5921053,149.0236842,5.203157895
1997,4,344.5897727,371.0568182,153.5659091,4.772568182
1997,5,343.97,389.3375,171.115,4.7594
1997,6,340.7809524,431.0630952,203.1190476,4.755238095
