Year,Month,Date,Gold_pct,Silver_pct,Platinum_pct,Palladium_pct,Inflation,Interest Rates %,GDP Growth %
1990,4,4/1/1990,0.46,0.56,0.29,0.87,6.2,13.88,1.3
1990,5,5/1/1990,-1.5,0.28,2.11,-5.93,7.7,13.88,1.3
1990,6,6/1/1990,-4.46,-3.05,-1.38,-3.34,8.2,13.88,1.3
1990,7,7/1/1990,2.75,-0.96,-0.47,1.33,8.2,13.88,0.1
1990,8,8/1/1990,9.01,2.69,2.67,-1.26,8.2,13.88,0.1
1990,9,9/1/1990,-1.36,-3.96,-6.07,-8.97,8.9,13.88,0.1
1990,10,10/1/1990,-2.16,-8.63,-8.13,-9.25,9.2,13.88,-0.4
1990,11,11/1/1990,0.2,-4.93,-0.65,-1.81,9.2,13.88,-0.4
1990,12,12/1/1990,-1.24,-2.36,-0.04,-4.05,9.2,13.88,-0.4
1991,1,1/1/1991,1.87,-0.59,-3.17,-3.29,9.2,13.88,-1.4
1991,2,2/1/1991,-5.29,-7.72,-5.29,-3.07,8.6,13.38,-1.4
1991,3,3/1/1991,-0.12,5.63,3.57,2.09,8.2,12.88,-1.4
1991,4,4/1/1991,-1.42,0.86,-0.75,12.19,8.3,11.88,-2.2
1991,5,5/1/1991,-0.33,1.66,-1.95,-1.15,8,11.38,-2.2
1991,6,6/1/1991,2.67,8.38,-3.61,1.68,7.5,11.38,-2.2
1991,7,7/1/1991,0.36,-0.92,0.13,-2.55,7.7,10.88,-1.3
1991,8,8/1/1991,-3.08,-8.97,-7.69,-12.22,7.5,10.88,-1.3
1991,9,9/1/1991,-2.22,2.02,0.56,-1.35,7.5,10.38,-1.3
1991,10,10/1/1991,2.91,1.93,3.84,4.1,6.9,10.38,-0.7
1991,11,11/1/1991,0.36,-1.05,0.68,0.06,6.5,10.38,-0.7
1991,12,12/1/1991,0.57,-2.89,-2.28,-2.79,6.5,10.38,-0.7
1992,1,1/1/1992,-2.12,4.22,-4.26,0.05,6.5,10.38,-0.2
1992,2,2/1/1992,-0.16,0.59,5.98,3.01,6.2,10.38,-0.2
1992,3,3/1/1992,-2.65,-0.85,-1.38,-1.28,6.3,10.38,-0.2
1992,4,4/1/1992,-1.69,-1.41,-2.59,-1.1,6.2,10.38,-0.3
1992,5,5/1/1992,-0.45,0.55,3.06,-0.86,5.2,9.88,-0.3
1992,6,6/1/1992,1.08,-0.26,3.04,-2.52,5.1,9.88,-0.3
1992,7,7/1/1992,3.46,-2.37,3.81,7.89,4.6,9.88,0.4
1992,8,8/1/1992,-2.63,-3.76,-6.13,-1.75,4.5,9.88,0.4
1992,9,9/1/1992,0.59,-1.26,0.66,6.24,3.7,8.88,0.4
1992,10,10/1/1992,-0.3,-0.54,-1.11,4.26,3.7,7.88,1.1
1992,11,11/1/1992,-2.72,0.57,-0.61,-0.24,3.5,6.88,1.1
1992,12,12/1/1992,-0.04,-1.04,1.86,12.88,3.3,6.88,1.1
1993,1,1/1/1993,-1.74,-1.27,-0.89,3,3.2,5.88,1.6
1993,2,2/1/1993,0.09,-0.66,-0.07,0.59,3,5.88,1.6
1993,3,3/1/1993,0.22,-0.35,-2.45,-3.85,3.1,5.88,1.6
1993,4,4/1/1993,3.64,8.69,5.37,7.96,3.2,5.88,2.2
1993,5,5/1/1993,7.33,12.39,4.29,4.2,2.6,5.88,2.2
1993,6,6/1/1993,1.3,-1.8,-0.41,6.25,2.3,5.88,2.2
1993,7,7/1/1993,5.43,14.73,5.18,9.78,2.2,5.88,2.7
1993,8,8/1/1993,-3.26,-3.48,-2.52,-1.82,2.3,5.88,2.7
1993,9,9/1/1993,-6.3,-12.93,-7.76,-11.3,2.6,5.88,2.7
1993,10,10/1/1993,2.44,2.95,1.5,6.8,2.7,5.88,2.6
1993,11,11/1/1993,2.69,4.38,1.79,-1.16,2.4,5.38,2.6
1993,12,12/1/1993,2.43,9.37,2.05,-2.66,2.1,5.38,2.6
1994,1,1/1/1994,1.05,3.73,1.45,-0.36,2.3,5.38,3.1
1994,2,2/1/1994,-1.35,2.03,1.58,6.01,2.6,5.13,3.1
1994,3,3/1/1994,0.6,3.58,1.63,0.95,2.4,5.13,3.1
1994,4,4/1/1994,-1.69,-2.33,-0.98,0.42,2.2,5.13,3.5
1994,5,5/1/1994,1,2.2,0.49,1.88,2.4,5.13,3.5
1994,6,6/1/1994,1.13,-0.69,0.76,0.81,2.4,5.13,3.5
1994,7,7/1/1994,-0.05,-1.95,2.55,6.47,2.3,5.13,3.6
1994,8,8/1/1994,-1.35,-1.67,0.16,4.16,2.1,5.13,3.6
1994,9,9/1/1994,2.94,6.34,1.22,0.53,2.2,5.63,3.6
1994,10,10/1/1994,-0.38,-1.24,0.5,1.08,1.9,5.63,3.4
1994,11,11/1/1994,-1.43,-4.82,-1.63,1.21,1.8,5.63,3.4
1994,12,12/1/1994,-1.34,-7.94,-0.78,-1.92,2.1,6.13,3.4
1995,1,1/1/1995,-0.16,-0.22,1.08,1.69,2.2,6.13,2.9
1995,2,2/1/1995,-0.52,-1,0.08,0.55,2.4,6.63,2.9
1995,3,3/1/1995,1.4,-1.56,0.64,3.69,2.3,5.94,2.9
1995,4,4/1/1995,2.41,18.39,7.7,4.35,2.4,5.94,2.2
1995,5,5/1/1995,-1.52,0.68,-2.64,-5.47,2.3,5.94,2.2
1995,6,6/1/1995,0.61,-3.19,0.35,-1.2,2.6,5.94,2.2
1995,7,7/1/1995,-0.36,-3.71,-1.11,-2.02,2.7,5.94,2.3
1995,8,8/1/1995,-0.68,4.36,-2.02,-3.68,2.8,5.94,2.3
1995,9,9/1/1995,-0.15,0.84,1.17,-4.13,2.7,5.94,2.3
1995,10,10/1/1995,0.05,-1.12,-3.96,-4.59,3,5.94,2.2
1995,11,11/1/1995,0.55,-1.1,0.1,-1.89,3,5.94,2.2
1995,12,12/1/1995,0.58,-2.44,-0.69,-1.77,2.9,6.38,2.2
1996,1,1/1/1996,2.99,5.68,1.42,-1.74,3.1,6.13,2.3
1996,2,2/1/1996,1.44,3.11,1.01,7.5,2.9,6.13,2.3
1996,3,3/1/1996,-2.09,-2.13,-2.18,-0.84,3,5.94,2.3
1996,4,4/1/1996,-0.88,-2.16,-1.7,-1.32,3,5.94,2.4
1996,5,5/1/1996,-0.23,-0.83,-0.7,-3.15,2.8,5.94,2.4
1996,6,6/1/1996,-1.71,-3.81,-2.18,-1.89,2.8,5.69,2.4
1996,7,7/1/1996,-0.47,-1.89,0.22,1.85,2.8,5.69,2.3
1996,8,8/1/1996,1.03,1.3,1.71,-3.69,2.7,5.69,2.3
1996,9,9/1/1996,-1.09,-1.82,-2.55,-4.31,2.7,5.69,2.3
1996,10,10/1/1996,-0.58,-2.16,-1.5,-3.35,2.7,5.94,3.3
1996,11,11/1/1996,-0.82,-1.95,-0.56,-0.45,3,5.94,3.3
1996,12,12/1/1996,-2.3,-0.18,-3.02,0.13,3.1,5.94,3.3
1997,1,1/1/1997,-3.82,-1.02,-2.94,3.47,2.8,5.94,4.3
1997,2,2/1/1997,-2.41,6.25,1.47,12.31,2.6,5.94,4.3
1997,3,3/1/1997,1.61,2.58,4.04,9.47,2.4,5.94,4.3
1997,4,4/1/1997,-2.12,-8.28,-2.25,3.05,2.2,5.94,5.1
1997,5,5/1/1997,-0.18,-0.28,4.93,11.43,2.1,6.25,5.1
1997,6,6/1/1997,-0.93,-0.09,10.72,18.7,2.1,6.5,5.1
1997,7,7/1/1997,-4.94,-8.05,-3.6,-7.61,2.1,6.75,5.1
1997,8,8/1/1997,0.02,2.83,2.36,13.94,2.4,7,5.1
1997,9,9/1/1997,-0.4,5.24,-0.11,-10.76,2.3,7,5.1
1997,10,10/1/1997,0.66,6.4,-0.33,7.47,2.2,7,5.2
1997,11,11/1/1997,-5.75,0.86,-7.29,1.51,2.2,7.25,5.2
1997,12,12/1/1997,-5.76,13.41,-6.48,-4.51,2.1,7.25,5.2
1998,1,1/1/1998,0.22,2.13,2.06,13.42,1.9,7.25,4.3
1998,2,2/1/1998,2.92,16.15,3.15,5.04,1.8,7.25,4.3
1998,3,3/1/1998,-0.58,-8.62,3.15,10.75,1.8,7.25,4.3
1998,4,4/1/1998,4.23,1.44,3.71,22.85,1.9,7.25,3.8
1998,5,5/1/1998,-3.04,-12.18,-5.88,9.85,2.1,7.25,3.8
1998,6,6/1/1998,-2.26,-5.29,-8.58,-18.98,2.2,7.5,3.8
1998,7,7/1/1998,0.21,3.58,6.26,6.86,1.9,7.5,3.2
1998,8,8/1/1998,-2.97,-5.01,-2.22,-6.32,1.7,7.5,3.2
1998,9,9/1/1998,1.64,-3.53,-2.67,-1.35,1.6,7.5,3.2
1998,10,10/1/1998,2.58,-0.01,-4.83,-1.93,1.7,7.25,2.4
1998,11,11/1/1998,-0.72,-0.56,1.19,-0.43,1.6,6.75,2.4
1998,12,12/1/1998,-0.81,-2.08,0.97,6.9,1.7,6.25,2.4
1999,1,1/1/1999,-1.55,5.73,1.26,8.82,1.9,6,2.3
