Year,Month,Date,Gold,Silver,Platinum,Palladium
1990,12,1990-12-28,385.8,4.0945,411.625,82.75
1990,12,1990-12-27,383.275,4.0975,411.325,85
1990,12,1990-12-21,383.5,4.1485,420.125,88.75
1990,12,1990-12-20,384.95,4.1035,425,89.525
1990,12,1990-12-19,377.85,3.971,416.2,88.5
1990,12,1990-12-18,376.7,3.965,413.875,88.1
1990,12,1990-12-17,376.575,3.95,416.8,87.55
1990,12,1990-12-14,373.175,3.964,416.925,87.8
1990,12,1990-12-13,372.5,4.0125,418.625,89
1990,12,1990-12-12,371.4,4.0635,423.425,92.375
1990,12,1990-12-11,373.2,4.0825,422.875,92.925
1990,12,1990-12-10,373.15,4.0975,420.625,92.825
1990,12,1990-12-07,370.95,4.1475,426.45,92.925
1990,12,1990-12-06,371.9,4.121,430.25,93.35
1990,12,1990-12-05,376.65,4.152,430.625,93.05
1990,12,1990-12-04,377.3,4.164,432.075,93
1990,12,1990-12-03,381.2,4.1285,429.375,92.125
1990,11,1990-11-30,384.825,4.0865,425.425,93.125
1990,11,1990-11-29,386.025,4.131,430.075,93.925
1990,11,1990-11-28,384.875,4.114,428.475,93.875
1990,11,1990-11-27,384.025,4.1225,424.375,93.9
1990,11,1990-11-26,386.975,4.19,432.5,93.8
1990,11,1990-11-23,381.8,4.145,427,94
1990,11,1990-11-22,380.1,4.1525,420.875,93.075
1990,11,1990-11-21,377.325,4.11,414.05,92.875
1990,11,1990-11-20,379.75,4.1435,417.625,92.875
1990,11,1990-11-19,377.7,4.13,417.875,93.125
1990,11,1990-11-16,378.3,4.14,423,93.625
1990,11,1990-11-15,378.25,4.175,413.8,92.975
1990,11,1990-11-14,383.675,4.2,416.55,94.05
1990,11,1990-11-13,383.35,4.21,417.75,94.125
1990,11,1990-11-12,381.3,4.2115,406.65,92.625
1990,11,1990-11-09,385.275,4.244,414.375,93.175
1990,11,1990-11-08,385.525,4.2625,421.25,94.25
1990,11,1990-11-07,384.25,4.2265,422.625,94.475
1990,11,1990-11-06,380.325,4.223,426.125,94.75
1990,11,1990-11-05,376.975,4.175,418.5,93.925
1990,11,1990-11-02,378.625,4.23,423.875,95
1990,11,1990-11-01,380.25,4.181,435.125,95.5
1990,10,1990-10-31,379.375,4.2225,438.025,96.625
1990,10,1990-10-30,373.55,4.1365,419,95.625
1990,10,1990-10-29,371.85,4.07,414.8,94.65
1990,10,1990-10-26,375.5,4.22,419.3,94.55
1990,10,1990-10-25,374.475,4.23,425.25,94.675
1990,10,1990-10-24,371.1,4.2265,425.325,95.075
1990,10,1990-10-23,371.2,4.23,422.125,94.125
1990,10,1990-10-22,368,4.231,413.675,93.125
1990,10,1990-10-19,371.875,4.2425,408.975,92.5
1990,10,1990-10-18,368.925,4.2475,398.675,90.125
1990,10,1990-10-17,365.875,4.219,395.9,88.5
1990,10,1990-10-16,369.95,4.2025,391.625,88.675
1990,10,1990-10-15,381.275,4.259,403.5,92.875
1990,10,1990-10-12,388.275,4.2475,415.625,94
1990,10,1990-10-11,388.8,4.385,425.475,96.7
1990,10,1990-10-10,392,4.6275,443,99.875
1990,10,1990-10-09,395.9,4.6925,449,100.75
1990,10,1990-10-08,391.025,4.6675,444.175,100.3
1990,10,1990-10-05,394.3,4.715,448.675,100.125
1990,10,1990-10-04,394.25,4.71,443.625,98.625
1990,10,1990-10-03,389.625,4.6915,443.55,99.225
1990,10,1990-10-02,388.55,4.69,443.25,98.8
1990,10,1990-10-01,398.15,4.786,430.75,97
1990,9,1990-09-28,407.25,4.795,431.5,96.875
1990,9,1990-09-27,402.925,4.7775,442.25,98.25
1990,9,1990-09-26,402.225,4.825,449.3,100.825
1990,9,1990-09-25,405.05,4.9275,462.05,102.775
1990,9,1990-09-24,391.325,4.829,452,101.125
1990,9,1990-09-21,389.7,4.81,454.125,102.125
1990,9,1990-09-20,386.475,4.795,456.675,105.75
1990,9,1990-09-19,386.475,4.8,458.875,105.7
1990,9,1990-09-18,388.275,4.785,460.575,105.75
1990,9,1990-09-17,388.65,4.7865,458.025,105.5
1990,9,1990-09-14,385.25,4.806,457.375,105.55
1990,9,1990-09-13,382.175,4.8175,456.625,105.25
1990,9,1990-09-12,381.35,4.795,456.075,105
1990,9,1990-09-11,378.45,4.75,456.75,104.575
1990,9,1990-09-10,383.5,4.77,471,106.125
1990,9,1990-09-07,386.725,4.7825,477.35,107.55
1990,9,1990-09-06,387.875,4.8,483.4,111.2
1990,9,1990-09-05,383.95,4.7575,484.175,111.25
1990,9,1990-09-04,384.075,4.8165,485.45,111.65
1990,9,1990-09-03,387.125,4.85,487.375,111.925
1990,8,1990-08-31,387.925,4.83,486.5,111.75
1990,8,1990-08-30,387.775,4.8375,484.75,111.875
1990,8,1990-08-29,386.7,4.86,484.875,112.375
